Time,Cond,Plate,ProportionUnbalanced
0.008,control,d118b_00,0.000
0.808,control,d118b_00,0.000
1.608,control,d118b_00,0.000
2.408,control,d118b_00,0.000
3.208,control,d118b_00,0.000
4.008,control,d118b_00,0.000
4.808,control,d118b_00,0.000
5.608,control,d118b_00,0.000
6.408,control,d118b_00,0.000
7.208,control,d118b_00,0.000
8.008,control,d118b_00,0.000
8.808,control,d118b_00,0.000
9.608,control,d118b_00,0.000
10.408,control,d118b_00,0.000
11.208,control,d118b_00,0.000
12.008,control,d118b_00,0.000
12.808,control,d118b_00,0.000
13.608,control,d118b_00,0.000
0.008,arrest,d118b_01,0.200
0.808,arrest,d118b_01,0.200
1.608,arrest,d118b_01,0.067
2.408,arrest,d118b_01,0.067
3.208,arrest,d118b_01,0.067
4.008,arrest,d118b_01,0.067
4.808,arrest,d118b_01,0.067
5.608,arrest,d118b_01,0.067
6.408,arrest,d118b_01,0.067
7.208,arrest,d118b_01,0.067
8.008,arrest,d118b_01,0.067
8.808,arrest,d118b_01,0.067
9.608,arrest,d118b_01,0.067
10.408,arrest,d118b_01,0.067
11.208,arrest,d118b_01,0.067
12.008,arrest,d118b_01,0.000
12.808,arrest,d118b_01,0.000
13.608,arrest,d118b_01,0.000
0.008,arrest,d118b_02,0.400
0.808,arrest,d118b_02,0.333
1.608,arrest,d118b_02,0.133
2.408,arrest,d118b_02,0.133
3.208,arrest,d118b_02,0.133
4.008,arrest,d118b_02,0.133
4.808,arrest,d118b_02,0.067
5.608,arrest,d118b_02,0.067
6.408,arrest,d118b_02,0.000
7.208,arrest,d118b_02,0.000
8.008,arrest,d118b_02,0.000
8.808,arrest,d118b_02,0.000
9.608,arrest,d118b_02,0.000
10.408,arrest,d118b_02,0.000
11.208,arrest,d118b_02,0.000
12.008,arrest,d118b_02,0.000
12.808,arrest,d118b_02,0.000
13.608,arrest,d118b_02,0.000
0.008,control,d118b_03,0.267
0.808,control,d118b_03,0.067
1.608,control,d118b_03,0.000
2.408,control,d118b_03,0.000
3.208,control,d118b_03,0.000
4.008,control,d118b_03,0.000
4.808,control,d118b_03,0.000
5.608,control,d118b_03,0.000
6.408,control,d118b_03,0.000
7.208,control,d118b_03,0.000
8.008,control,d118b_03,0.000
8.808,control,d118b_03,0.000
9.608,control,d118b_03,0.000
10.408,control,d118b_03,0.000
11.208,control,d118b_03,0.000
12.008,control,d118b_03,0.000
12.808,control,d118b_03,0.000
13.608,control,d118b_03,0.000
0.008,control,d118b_04,0.267
0.808,control,d118b_04,0.200
1.608,control,d118b_04,0.133
2.408,control,d118b_04,0.067
3.208,control,d118b_04,0.067
4.008,control,d118b_04,0.000
4.808,control,d118b_04,0.000
5.608,control,d118b_04,0.000
6.408,control,d118b_04,0.000
7.208,control,d118b_04,0.000
8.008,control,d118b_04,0.000
8.808,control,d118b_04,0.000
9.608,control,d118b_04,0.000
10.408,control,d118b_04,0.000
11.208,control,d118b_04,0.000
12.008,control,d118b_04,0.000
12.808,control,d118b_04,0.000
13.608,control,d118b_04,0.000
0.008,arrest,d118b_05,0.500
0.808,arrest,d118b_05,0.223
1.608,arrest,d118b_05,0.167
2.408,arrest,d118b_05,0.057
3.208,arrest,d118b_05,0.057
4.008,arrest,d118b_05,0.057
4.808,arrest,d118b_05,0.057
5.608,arrest,d118b_05,0.057
6.408,arrest,d118b_05,0.057
7.208,arrest,d118b_05,0.000
8.008,arrest,d118b_05,0.000
8.808,arrest,d118b_05,0.000
9.608,arrest,d118b_05,0.000
10.408,arrest,d118b_05,0.000
11.208,arrest,d118b_05,0.000
12.008,arrest,d118b_05,0.000
12.808,arrest,d118b_05,0.000
13.608,arrest,d118b_05,0.000
0.008,control,d118b_06,0.000
0.808,control,d118b_06,0.000
1.608,control,d118b_06,0.000
2.408,control,d118b_06,0.000
3.208,control,d118b_06,0.000
4.008,control,d118b_06,0.000
4.808,control,d118b_06,0.000
5.608,control,d118b_06,0.000
6.408,control,d118b_06,0.000
7.208,control,d118b_06,0.000
8.008,control,d118b_06,0.000
8.808,control,d118b_06,0.000
9.608,control,d118b_06,0.000
10.408,control,d118b_06,0.000
11.208,control,d118b_06,0.000
12.008,control,d118b_06,0.000
12.808,control,d118b_06,0.000
13.608,control,d118b_06,0.000
0.008,arrest,d118b_07,0.733
0.808,arrest,d118b_07,0.467
1.608,arrest,d118b_07,0.267
2.408,arrest,d118b_07,0.133
3.208,arrest,d118b_07,0.067
4.008,arrest,d118b_07,0.067
4.808,arrest,d118b_07,0.067
5.608,arrest,d118b_07,0.067
6.408,arrest,d118b_07,0.067
7.208,arrest,d118b_07,0.067
8.008,arrest,d118b_07,0.000
8.808,arrest,d118b_07,0.000
9.608,arrest,d118b_07,0.000
10.408,arrest,d118b_07,0.000
11.208,arrest,d118b_07,0.000
12.008,arrest,d118b_07,0.000
12.808,arrest,d118b_07,0.000
13.608,arrest,d118b_07,0.000
0.008,arrest,d118b_08,0.600
0.808,arrest,d118b_08,0.400
1.608,arrest,d118b_08,0.333
2.408,arrest,d118b_08,0.333
3.208,arrest,d118b_08,0.333
4.008,arrest,d118b_08,0.267
4.808,arrest,d118b_08,0.267
5.608,arrest,d118b_08,0.267
6.408,arrest,d118b_08,0.267
7.208,arrest,d118b_08,0.133
8.008,arrest,d118b_08,0.067
8.808,arrest,d118b_08,0.067
9.608,arrest,d118b_08,0.067
10.408,arrest,d118b_08,0.067
11.208,arrest,d118b_08,0.067
12.008,arrest,d118b_08,0.067
12.808,arrest,d118b_08,0.067
13.608,arrest,d118b_08,0.067
0.008,control,d118b_09,0.333
0.808,control,d118b_09,0.200
1.608,control,d118b_09,0.067
2.408,control,d118b_09,0.067
3.208,control,d118b_09,0.000
4.008,control,d118b_09,0.000
4.808,control,d118b_09,0.000
5.608,control,d118b_09,0.000
6.408,control,d118b_09,0.000
7.208,control,d118b_09,0.000
8.008,control,d118b_09,0.000
8.808,control,d118b_09,0.000
9.608,control,d118b_09,0.000
10.408,control,d118b_09,0.000
11.208,control,d118b_09,0.000
12.008,control,d118b_09,0.000
12.808,control,d118b_09,0.000
13.608,control,d118b_09,0.000
0.008,control,d118b_10,0.400
0.808,control,d118b_10,0.267
1.608,control,d118b_10,0.067
2.408,control,d118b_10,0.067
3.208,control,d118b_10,0.000
4.008,control,d118b_10,0.000
4.808,control,d118b_10,0.000
5.608,control,d118b_10,0.000
6.408,control,d118b_10,0.000
7.208,control,d118b_10,0.000
8.008,control,d118b_10,0.000
8.808,control,d118b_10,0.000
9.608,control,d118b_10,0.000
10.408,control,d118b_10,0.000
11.208,control,d118b_10,0.000
12.008,control,d118b_10,0.000
12.808,control,d118b_10,0.000
13.608,control,d118b_10,0.000
0.008,arrest,d118b_11,0.533
0.808,arrest,d118b_11,0.400
1.608,arrest,d118b_11,0.200
2.408,arrest,d118b_11,0.067
3.208,arrest,d118b_11,0.000
4.008,arrest,d118b_11,0.000
4.808,arrest,d118b_11,0.000
5.608,arrest,d118b_11,0.000
6.408,arrest,d118b_11,0.000
7.208,arrest,d118b_11,0.000
8.008,arrest,d118b_11,0.000
8.808,arrest,d118b_11,0.000
9.608,arrest,d118b_11,0.000
10.408,arrest,d118b_11,0.000
11.208,arrest,d118b_11,0.000
12.008,arrest,d118b_11,0.000
12.808,arrest,d118b_11,0.000
13.608,arrest,d118b_11,0.000
0.008,control,d118b_12,0.267
0.808,control,d118b_12,0.200
1.608,control,d118b_12,0.200
2.408,control,d118b_12,0.000
3.208,control,d118b_12,0.000
4.008,control,d118b_12,0.000
4.808,control,d118b_12,0.000
5.608,control,d118b_12,0.000
6.408,control,d118b_12,0.000
7.208,control,d118b_12,0.000
8.008,control,d118b_12,0.000
8.808,control,d118b_12,0.000
9.608,control,d118b_12,0.000
10.408,control,d118b_12,0.000
11.208,control,d118b_12,0.000
12.008,control,d118b_12,0.000
12.808,control,d118b_12,0.000
13.608,control,d118b_12,0.000
0.008,arrest,d118b_13,0.600
0.808,arrest,d118b_13,0.533
1.608,arrest,d118b_13,0.333
2.408,arrest,d118b_13,0.200
3.208,arrest,d118b_13,0.133
4.008,arrest,d118b_13,0.067
4.808,arrest,d118b_13,0.067
5.608,arrest,d118b_13,0.000
6.408,arrest,d118b_13,0.000
7.208,arrest,d118b_13,0.000
8.008,arrest,d118b_13,0.000
8.808,arrest,d118b_13,0.000
9.608,arrest,d118b_13,0.000
10.408,arrest,d118b_13,0.000
11.208,arrest,d118b_13,0.000
12.008,arrest,d118b_13,0.000
12.808,arrest,d118b_13,0.000
13.608,arrest,d118b_13,0.000
0.008,control,d118b_14,0.200
0.808,control,d118b_14,0.067
1.608,control,d118b_14,0.067
2.408,control,d118b_14,0.067
3.208,control,d118b_14,0.067
4.008,control,d118b_14,0.067
4.808,control,d118b_14,0.067
5.608,control,d118b_14,0.067
6.408,control,d118b_14,0.000
7.208,control,d118b_14,0.000
8.008,control,d118b_14,0.000
8.808,control,d118b_14,0.000
9.608,control,d118b_14,0.000
10.408,control,d118b_14,0.000
11.208,control,d118b_14,0.000
12.008,control,d118b_14,0.000
12.808,control,d118b_14,0.000
13.608,control,d118b_14,0.000
0.008,arrest,d118b_15,0.667
0.808,arrest,d118b_15,0.267
1.608,arrest,d118b_15,0.267
2.408,arrest,d118b_15,0.267
3.208,arrest,d118b_15,0.267
4.008,arrest,d118b_15,0.267
4.808,arrest,d118b_15,0.200
5.608,arrest,d118b_15,0.200
6.408,arrest,d118b_15,0.200
7.208,arrest,d118b_15,0.133
8.008,arrest,d118b_15,0.067
8.808,arrest,d118b_15,0.067
9.608,arrest,d118b_15,0.067
10.408,arrest,d118b_15,0.067
11.208,arrest,d118b_15,0.067
12.008,arrest,d118b_15,0.000
12.808,arrest,d118b_15,0.000
13.608,arrest,d118b_15,0.000
0.008,control,d118b_16,0.133
0.808,control,d118b_16,0.067
1.608,control,d118b_16,0.067
2.408,control,d118b_16,0.000
3.208,control,d118b_16,0.000
4.008,control,d118b_16,0.000
4.808,control,d118b_16,0.000
5.608,control,d118b_16,0.000
6.408,control,d118b_16,0.000
7.208,control,d118b_16,0.000
8.008,control,d118b_16,0.000
8.808,control,d118b_16,0.000
9.608,control,d118b_16,0.000
10.408,control,d118b_16,0.000
11.208,control,d118b_16,0.000
12.008,control,d118b_16,0.000
12.808,control,d118b_16,0.000
13.608,control,d118b_16,0.000
0.008,arrest,d118b_17,0.667
0.808,arrest,d118b_17,0.533
1.608,arrest,d118b_17,0.333
2.408,arrest,d118b_17,0.200
3.208,arrest,d118b_17,0.133
4.008,arrest,d118b_17,0.133
4.808,arrest,d118b_17,0.133
5.608,arrest,d118b_17,0.133
6.408,arrest,d118b_17,0.067
7.208,arrest,d118b_17,0.000
8.008,arrest,d118b_17,0.000
8.808,arrest,d118b_17,0.000
9.608,arrest,d118b_17,0.000
10.408,arrest,d118b_17,0.000
11.208,arrest,d118b_17,0.000
12.008,arrest,d118b_17,0.000
12.808,arrest,d118b_17,0.000
13.608,arrest,d118b_17,0.000
